date,shortValue,count
2020-05-04,totalCases,61696
2020-05-05,positiveCases,12437
2020-05-05,totalDeaths,1620
2020-05-05,totalCases,63311
2020-05-06,totalDeaths,1703
2020-05-06,totalCases,65125
2020-05-06,positiveCases,12709
2020-05-07,positiveCases,12924
2020-05-07,totalDeaths,1762
2020-05-07,totalCases,67097
2020-05-08,totalCases,69191
2020-05-08,positiveCases,13149
2020-05-08,totalDeaths,1811
2020-05-09,totalCases,71092
2020-05-09,positiveCases,13305
2020-05-09,totalDeaths,1847
2020-05-10,totalDeaths,1857
2020-05-10,positiveCases,13486
2020-05-10,totalCases,72683
2020-05-11,positiveCases,13627
2020-05-11,totalCases,74063
2020-05-11,totalDeaths,1862
2020-05-12,totalCases,75570
2020-05-12,totalDeaths,1912
2020-05-12,positiveCases,13763
2020-05-13,totalDeaths,1973
2020-05-13,positiveCases,13929
2020-05-13,totalCases,77750
2020-05-14,positiveCases,14117
2020-05-14,totalCases,80275
2020-05-14,totalDeaths,2007
2020-05-15,totalCases,82266
2020-05-15,positiveCases,14260
2020-05-15,totalDeaths,2053
2020-05-16,totalDeaths,2094
2020-05-16,positiveCases,14447
2020-05-16,totalCases,85604
2020-05-17,totalCases,87660
2020-05-17,totalDeaths,2103
2020-05-17,positiveCases,14537
2020-05-18,totalCases,88940
2020-05-18,positiveCases,14594
2020-05-18,totalDeaths,2105
2020-05-19,positiveCases,14655
2020-05-19,totalDeaths,2134
2020-05-19,totalCases,90421
2020-05-20,totalDeaths,2184
2020-05-20,totalCases,92594
2020-05-20,positiveCases,14751
2020-05-21,positiveCases,14856
2020-05-21,totalDeaths,2221
2020-05-21,totalCases,95173
2020-05-22,totalCases,97607
2020-05-22,totalDeaths,2245
2020-05-22,positiveCases,14969
2020-05-23,totalCases,99932
2020-05-23,totalDeaths,2261
2020-05-23,positiveCases,15041
2020-05-24,totalDeaths,2270
2020-05-24,totalCases,101713
2020-05-24,positiveCases,15101
2020-05-25,positiveCases,15156
2020-05-25,totalDeaths,2273
2020-05-25,totalCases,103508
2020-05-26,positiveCases,15185
2020-05-26,totalCases,104880
2020-05-26,totalDeaths,2291
2020-05-27,positiveCases,15240
2020-05-27,totalCases,106984
2020-05-27,totalDeaths,2304
2020-05-28,totalCases,109031
2020-05-28,totalDeaths,2316
2020-05-28,positiveCases,15288
2020-05-29,totalCases,111085
2020-05-29,totalDeaths,2331
2020-05-29,positiveCases,15327
2020-05-30,totalCases,112984
2020-05-30,totalDeaths,2353
2020-05-30,positiveCases,15382
2020-05-31,totalCases,114322
2020-05-31,totalDeaths,2362
2020-05-31,positiveCases,15400
2020-06-01,totalCases,115259
2020-06-01,totalDeaths,2363
2020-06-01,positiveCases,15418
2020-06-02,totalCases,116848
2020-06-02,totalDeaths,2375
2020-06-02,positiveCases,15471
2020-06-03,totalCases,118573
2020-06-03,totalDeaths,2386
2020-06-03,positiveCases,15504
2020-06-04,totalCases,120601
2020-06-04,totalDeaths,2395
2020-06-04,positiveCases,15553
2020-06-05,totalCases,122762
2020-06-05,totalDeaths,2409
2020-06-05,positiveCases,15582
2020-06-06,totalCases,124543
2020-06-06,totalDeaths,2415
2020-06-06,positiveCases,15603
2020-06-07,totalCases,126012
2020-06-07,totalDeaths,2415
2020-06-07,positiveCases,15621
2020-06-08,totalCases,127204
2020-06-08,totalDeaths,2415
2020-06-08,positiveCases,15639
2020-06-09,totalCases,128495
2020-06-09,totalDeaths,2422
2020-06-09,positiveCases,15653
2020-06-19,totalCases,222516
2020-06-19,positiveCases,18104
2020-06-19,totalDeaths,2470
2020-06-10,totalCases,130104
2020-06-10,positiveCases,15665
2020-06-10,totalDeaths,2434
2020-06-11,totalCases,132001
2020-06-11,positiveCases,15682
2020-06-11,totalDeaths,2439
2020-06-12,totalCases,133894
2020-06-12,positiveCases,15709
2020-06-12,totalDeaths,2442
2020-06-13,totalCases,136146
2020-06-13,totalDeaths,2447
2020-06-13,positiveCases,15730
2020-06-14,totalCases,137638
2020-06-14,positiveCases,15755
2020-06-14,totalDeaths,2448
2020-06-15,totalCases,210959
2020-06-15,totalDeaths,2448
2020-06-15,positiveCases,18030
2020-06-16,totalCases,213527
2020-06-16,positiveCases,18045
2020-06-16,totalDeaths,2453
2020-06-17,totalCases,216743
2020-06-17,positiveCases,18066
2020-06-17,totalDeaths,2462
2020-06-18,totalCases,220198
2020-06-18,positiveCases,18077
2020-06-18,totalDeaths,2464
2020-06-20,totalCases,228083
2020-06-20,totalDeaths,2472
2020-06-20,positiveCases,18130
2020-06-21,totalCases,231525
2020-06-21,totalDeaths,2472
2020-06-21,positiveCases,18156
2020-06-22,totalCases,233535
2020-06-22,totalDeaths,2472
2020-06-22,positiveCases,18170
2020-06-23,totalCases,235359
2020-06-23,totalDeaths,2476
2020-06-23,positiveCases,18182
2020-06-24,totalCases,238076
2020-06-24,totalDeaths,2480
2020-06-24,positiveCases,18191
2020-06-25,totalCases,242510
2020-06-25,totalDeaths,2482
2020-06-25,positiveCases,18196
2020-06-26,totalDeaths,2482
2020-06-26,positiveCases,18213
2020-06-26,totalCases,248381
2020-06-27,totalCases,251223
2020-06-27,totalDeaths,2482
2020-06-27,positiveCases,18228
2020-06-28,totalCases,255427
2020-06-28,totalDeaths,2482
2020-06-28,positiveCases,18236
2020-06-29,totalCases,258399
2020-06-29,totalDeaths,2482
2020-06-29,positiveCases,18241
2020-06-30,totalCases,260336
2020-06-30,totalDeaths,2485
2020-06-30,positiveCases,18251

