date,areaname,count
w/c 2020-05-25,Western Isles,0
w/c 2020-05-25,Tayside,13
w/c 2020-05-25,Orkney,0
w/c 2020-05-25,Lothian,24
w/c 2020-05-25,Shetland,0
w/c 2020-05-25,Lanarkshire,22
w/c 2020-05-25,Greater Glasgow and Clyde,30
w/c 2020-05-25,Ayrshire and Arran,14
w/c 2020-05-25,Grampian,9
w/c 2020-05-25,Dumfries and Galloway,0
w/c 2020-05-25,Forth Valley,3
w/c 2020-05-25,Borders,4
w/c 2020-05-25,Highland,4
w/c 2020-06-01,Tayside,9
w/c 2020-06-01,Grampian,5
w/c 2020-06-01,Forth Valley,4
w/c 2020-06-01,Lanarkshire,18
w/c 2020-06-01,Dumfries and Galloway,0
w/c 2020-06-01,Greater Glasgow and Clyde,21
w/c 2020-06-01,Lothian,15
w/c 2020-06-01,Shetland,0
w/c 2020-06-01,Orkney,0
w/c 2020-06-01,Highland,2
w/c 2020-06-01,Fife,3
w/c 2020-06-01,Western Isles,0
w/c 2020-06-01,Ayrshire and Arran,6
w/c 2020-06-01,Borders,6
w/c 2020-06-08,Highland,0
w/c 2020-06-08,Lothian,11
w/c 2020-06-08,Ayrshire and Arran,6
w/c 2020-06-08,Borders,3
w/c 2020-06-08,Forth Valley,6
w/c 2020-06-08,Grampian,6
w/c 2020-06-08,Dumfries and Galloway,0
w/c 2020-06-08,Lanarkshire,8
w/c 2020-06-08,Tayside,9
w/c 2020-06-08,Greater Glasgow and Clyde,17
w/c 2020-06-08,Western Isles,0
w/c 2020-06-08,Shetland,0
w/c 2020-06-08,Fife,3
w/c 2020-06-08,Orkney,0
w/c 2020-06-15,Tayside,2
w/c 2020-06-15,Fife,2
w/c 2020-06-15,Greater Glasgow and Clyde,15
w/c 2020-06-15,Shetland,0
w/c 2020-06-15,Western Isles,0
w/c 2020-06-15,Lanarkshire,8
w/c 2020-06-15,Dumfries and Galloway,0
w/c 2020-06-15,Borders,1
w/c 2020-06-15,Forth Valley,4
w/c 2020-06-15,Ayrshire and Arran,4
w/c 2020-06-15,Lothian,9
w/c 2020-06-15,Orkney,0
w/c 2020-06-15,Grampian,4
w/c 2020-06-15,Highland,0
w/c 2020-06-22,Lothian,4
w/c 2020-06-22,Orkney,0
w/c 2020-06-22,Highland,0
w/c 2020-06-22,Western Isles,0
w/c 2020-06-22,Fife,3
w/c 2020-06-22,Shetland,0
w/c 2020-06-22,Ayrshire and Arran,1
w/c 2020-06-22,Borders,0
w/c 2020-06-22,Forth Valley,3
w/c 2020-06-22,Grampian,3
w/c 2020-06-22,Dumfries and Galloway,0
w/c 2020-06-22,Greater Glasgow and Clyde,8
w/c 2020-06-22,Lanarkshire,11
w/c 2020-06-22,Tayside,2

