Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200304,S08000024,1,1,0.110183124352674,0.00294117647058824,0,0,0,339,37.3520791555565
20200304,S08000025,0,0,0,0,0,0,0,8,35.9227660529861
20200304,S08000026,0,0,0,0,0,0,0,1,4.3630017452007
20200304,S08000028,0,0,0,0,0,0,0,3,11.2275449101796
20200304,S08000029,2,2,0.535403560433677,0.0202020202020202,0,0,0,97,25.9670726810333
20200304,S08000030,0,1,0.239538170407454,0.00769230769230769,0,0,0,129,30.9004239825616
20200304,S08000031,0,1,0.0845222800730273,0.00267379679144385,0,0,0,373,31.5268104672392
20200304,S08000032,0,0,0,0,0,0,0,156,23.568514881402
20200305,S08000015,0,1,0.270738574832142,0.010752688172043,0,0,0,92,24.9079488845571
20200305,S08000016,0,0,0,0,0,0,0,39,33.7633105358843
20200305,S08000017,0,0,0,0,0,0,0,70,47.0240494424291
20200305,S08000019,0,3,0.978345943125489,0.0208333333333333,0,0,0,141,45.982259326898
20200305,S08000020,0,4,0.682943486426498,0.0277777777777778,0,0,0,140,23.9030220249274
20200305,S08000022,0,0,0,0,0,0,0,70,21.7594031706559
20200305,S08000024,0,1,0.110183124352674,0.00274725274725275,0,0,0,363,39.9964741400207
20200305,S08000025,0,0,0,0,0,0,0,8,35.9227660529861
20200305,S08000026,0,0,0,0,0,0,0,2,8.7260034904014
20200305,S08000028,0,0,0,0,0,0,0,3,11.2275449101796
20200305,S08000029,0,2,0.535403560433677,0.0185185185185185,0,0,0,106,28.3763887029849
20200305,S08000030,0,1,0.239538170407454,0.00699300699300699,0,0,0,142,34.0144201978585
20200305,S08000031,1,2,0.169044560146055,0.00443458980044346,0,0,0,449,37.9505037527892
20200305,S08000032,1,1,0.151080223598731,0.00555555555555556,0,0,0,179,27.0433600241728
