Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200301,S12000021,North Ayrshire,0,0,0,0,0,0,0,19,14.1012320023749
20200301,S12000023,Orkney Islands,0,0,0,0,0,0,0,7,31.4324202963628
20200301,S12000026,Scottish Borders,0,0,0,0,0,0,0,30,25.9717773352956
20200301,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0
20200301,S12000028,South Ayrshire,0,0,0,0,0,0,0,5,4.44010301038984
20200301,S12000029,South Lanarkshire,0,0,0,0,0,0,0,34,10.6074314416747
20200301,S12000030,Stirling,0,0,0,0,0,0,0,26,27.59791954145
20200301,S12000033,Aberdeen City,0,0,0,0,0,0,0,42,18.3670791970963
20200301,S12000034,Aberdeenshire,0,0,0,0,0,0,0,39,14.9305156770415
20200301,S12000035,Argyll & Bute,0,0,0,0,0,0,0,4,4.6582042622569
20200301,S12000036,City of Edinburgh,0,0,0,0,0,0,0,142,27.0512258777361
20200301,S12000038,Renfrewshire,0,0,0,0,0,0,0,25,13.9586823003908
20200301,S12000039,West Dunbartonshire,0,0,0,0,0,0,0,8,8.99583942426628
20200301,S12000040,West Lothian,0,0,0,0,0,0,0,31,16.9306389950847
20200301,S12000041,Angus,0,1,0.860585197934596,0.03125,0,0,0,31,26.6781411359725
20200301,S12000042,Dundee City,0,0,0,0,0,0,0,22,14.733458344495
20200301,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,15,13.8070692194404
20200301,S12000047,Fife,0,0,0,0,0,0,0,72,19.2745281756124
20200301,S12000048,Perth & Kinross,0,0,0,0,0,0,0,28,18.4271141822968
20200301,S12000049,Glasgow City,0,0,0,0,0,0,0,94,14.8471063937326
20200301,S12000050,North Lanarkshire,0,0,0,0,0,0,0,39,11.424554002988
20200302,S12000005,Clackmannanshire,0,1,1.94024058983314,0.0555555555555556,0,0,0,17,32.9840900271634
20200302,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,44,29.5579739352412
20200302,S12000008,East Ayrshire,0,0,0,0,0,0,0,16,13.1136792066224
20200302,S12000010,East Lothian,0,0,0,0,0,0,0,21,19.6096741058922
20200302,S12000011,East Renfrewshire,0,0,0,0,0,0,0,14,14.6550821731393
20200302,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,1,3.74251497005988
