date,areaname,count
2020-03-19,Borders,8
2020-03-19,Dumfries and Galloway,6
2020-03-19,Highland,6
2020-03-19,Forth Valley,17
2020-03-19,Orkney,*
2020-03-20,Fife,12
2020-03-20,Shetland,24
2020-03-20,Western Isles,*
2020-03-20,Highland,6
2020-03-20,Dumfries and Galloway,10
2020-03-20,Orkney,*
2020-03-20,Lothian,40
2020-03-20,Greater Glasgow and Clyde,91
2020-03-20,Ayrshire and Arran,16
2020-03-20,Forth Valley,23
2020-03-20,Lanarkshire,41
2020-03-20,Tayside,31
2020-03-20,Borders,9
2020-03-20,Grampian,19
2020-03-21,Lothian,44
2020-03-21,Greater Glasgow and Clyde,110
2020-03-21,Ayrshire and Arran,21
2020-03-21,Highland,8
2020-03-21,Tayside,34
2020-03-21,Forth Valley,27
2020-03-21,Western Isles,*
2020-03-21,Dumfries and Galloway,13
2020-03-21,Orkney,*
2020-03-21,Shetland,24
2020-03-21,Lanarkshire,49
2020-03-21,Borders,10
2020-03-21,Fife,13
2020-03-21,Grampian,20
2020-03-22,Forth Valley,30
2020-03-22,Grampian,23
2020-03-22,Tayside,38
2020-03-22,Borders,11
2020-03-22,Dumfries and Galloway,16
2020-03-22,Orkney,*
2020-03-22,Western Isles,*
2020-03-22,Greater Glasgow and Clyde,130
2020-03-22,Lothian,46
2020-03-22,Fife,16
2020-03-22,Lanarkshire,49
2020-03-22,Shetland,24
2020-03-22,Highland,8
2020-03-22,Ayrshire and Arran,25
2020-03-23,Dumfries and Galloway,18
2020-03-23,Fife,19
2020-03-23,Lanarkshire,58
2020-03-23,Tayside,47
2020-03-23,Grampian,24
2020-03-23,Greater Glasgow and Clyde,152
2020-03-23,Lothian,59
2020-03-23,Forth Valley,40
2020-03-23,Western Isles,*
2020-03-23,Highland,12
2020-03-23,Orkney,*
2020-03-23,Shetland,24
2020-03-23,Borders,12
2020-03-23,Ayrshire and Arran,34
2020-03-24,Lanarkshire,75
2020-03-24,Borders,12
2020-03-24,Fife,25
2020-03-24,Dumfries and Galloway,26
2020-03-24,Ayrshire and Arran,41
2020-03-24,Western Isles,*
2020-03-24,Lothian,70
2020-03-24,Grampian,24
2020-03-24,Forth Valley,43
2020-03-24,Greater Glasgow and Clyde,183
2020-03-24,Shetland,24
2020-03-24,Highland,13
2020-03-24,Tayside,48
2020-03-24,Orkney,*
2020-03-25,Greater Glasgow and Clyde,221
2020-03-25,Fife,29
2020-03-25,Grampian,29
2020-03-25,Orkney,*
2020-03-25,Highland,22
2020-03-25,Western Isles,*
2020-03-25,Lothian,88
2020-03-25,Ayrshire and Arran,57
2020-03-25,Shetland,24
