Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF
20200302,S08000020,NHS Grampian,0,1,0.170735872,,0,0,0,17,116,19.80536111,18,0,0,0,18,0,,:,,:
20200302,S08000022,NHS Highland,0,0,0,,0,0,0,2,41,12.74479329,3,0,0,0,3,0,,:,,:
20200302,S08000024,NHS Lothian,0,0,0,,0,0,0,44,257,28.31706296,50,0,0,0,50,0,,:,,:
20200302,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.96138303,0,0,0,0,0,0,,:,,:
20200302,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200302,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200302,S08000029,NHS Fife,0,0,0,,0,0,0,13,84,22.48694954,14,0,0,0,14,0,,:,,:
20200302,S08000030,NHS Tayside,0,1,0.23953817,,0,0,0,6,97,23.23520253,19,3,15.7894737,0,19,0,,:,,:
20200302,S08000031,NHS Greater Glasgow & Clyde,0,1,0.08452228,,0,0,0,68,243,20.53891406,80,0,0,0,80,0,,:,,:
20200302,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,27,105,15.86342348,33,0,0,0,33,0,,:,,:
20200302,S92000003,Scotland,1,5,0.091519777,,0,0,0,214,1159,21.21428441,264,4,1.5151515,0,264,0,11,"",,:
20200303,S08000015,NHS Ayrshire & Arran,0,1,0.270738575,,0,0,0,17,64,17.32726879,19,0,0,0,19,0,,:,,:
20200303,S08000016,NHS Borders,0,0,0,,0,0,0,2,34,29.43468098,2,0,0,0,2,0,,:,,:
20200303,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,9,53,35.60392315,10,0,0,0,10,0,,:,,:
20200303,S08000019,NHS Forth Valley,1,2,0.652230629,,0,0,0,17,106,34.56822332,25,1,4,0,25,0,,:,,:
20200303,S08000020,NHS Grampian,1,2,0.341471743,,0,0,0,12,128,21.85419157,15,1,6.6666666999999995,0,15,0,,:,,:
20200303,S08000022,NHS Highland,0,0,0,,0,0,0,10,51,15.85327945,10,0,0,0,10,0,,:,,:
20200303,S08000024,NHS Lothian,0,0,0,,0,0,0,46,303,33.38548668,48,0,0,0,48,0,,:,,:
20200303,S08000025,NHS Orkney,0,0,0,,0,0,0,1,5,22.45172878,1,0,0,0,1,0,,:,,:
20200303,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:
20200303,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,1,3.74251497,1,0,0,0,1,0,,:,,:
20200303,S08000029,NHS Fife,0,0,0,,0,0,0,11,95,25.43166912,13,0,0,0,13,0,,:,,:
20200303,S08000030,NHS Tayside,0,1,0.23953817,,0,0,0,20,117,28.02596594,37,2,5.405405399999999,0,37,0,,:,,:
20200303,S08000031,NHS Greater Glasgow & Clyde,1,2,0.16904456,,0,0,0,56,299,25.27216174,72,2,2.7777778,0,72,0,,:,,:
20200303,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,30,135,20.39583019,35,0,0,0,35,0,,:,,:
20200303,S92000003,Scotland,3,8,0.146431644,,0,0,0,232,1391,25.46080208,288,6,2.0833333,0,288,0,13,"",,:
20200304,S08000015,NHS Ayrshire & Arran,0,1,0.270738575,,0,0,0,10,74,20.03465454,15,1,6.6666666999999995,0,15,0,,:,,:
20200304,S08000016,NHS Borders,0,0,0,,0,0,0,3,37,32.03185871,3,0,0,0,3,0,,:,,:
20200304,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,10,63,42.3216445,11,0,0,0,11,0,,:,,:
20200304,S08000019,NHS Forth Valley,1,3,0.978345943,,0,0,0,19,125,40.7644143,33,4,12.121212100000001,0,33,0,,:,,:
20200304,S08000020,NHS Grampian,2,4,0.682943486,,0,0,0,5,133,22.70787092,7,2,28.571428599999997,0,7,0,,:,,:
20200304,S08000022,NHS Highland,0,0,0,,0,0,0,8,59,18.34006839,8,0,0,0,8,0,,:,,:
20200304,S08000024,NHS Lothian,1,1,0.110183124,,0,0,0,28,331,36.47061416,33,1,3.030303,0,33,0,,:,,:
20200304,S08000025,NHS Orkney,0,0,0,,0,0,0,0,5,22.45172878,0,0,0,0,0,0,,:,,:
20200304,S08000026,NHS Shetland,0,0,0,,0,0,0,1,1,4.363001745,1,0,0,0,1,0,,:,,:
20200304,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,2,7.48502994,1,0,0,0,1,0,,:,,:
20200304,S08000029,NHS Fife,2,2,0.53540356,,0,0,0,1,96,25.6993709,3,2,66.6666667,0,3,0,,:,,:
20200304,S08000030,NHS Tayside,0,1,0.23953817,,0,0,0,12,129,30.90042398,22,0,0,0,22,0,,:,,:
20200304,S08000031,NHS Greater Glasgow & Clyde,0,2,0.16904456,,0,0,0,74,373,31.52681047,92,0,0,0,92,0,,:,,:
20200304,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,21,156,23.56851488,26,0,0,0,26,0,,:,,:
20200304,S92000003,Scotland,6,14,0.256255377,,0,0,0,193,1584,28.99346549,255,10,3.9215686,0,255,0,10,"",,:
20200305,S08000015,NHS Ayrshire & Arran,0,1,0.270738575,0.270738575,0,0,0,16,90,24.36647173,17,0,0,2.4691358,17,0,,:,,:
20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,38,32.89758462,1,0,0,0,1,0,,:,,:
20200305,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,6,69,46.35227731,6,0,0,0,6,0,,:,,:
20200305,S08000019,NHS Forth Valley,0,3,0.978345943,0.978345943,0,0,0,14,139,45.3300287,18,0,0,4.379562,18,0,,:,,:
20200305,S08000020,NHS Grampian,0,4,0.682943486,0.682943486,0,0,0,5,138,23.56155028,15,2,13.3333333,8.2191781,15,0,,:,,:
20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,10,69,21.44855455,11,0,0,0,11,0,,:,,:
20200305,S08000024,NHS Lothian,0,1,0.110183124,0.110183124,0,0,0,24,355,39.11500915,32,1,3.125,0.8333333,32,0,,:,,:
20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,5,22.45172878,0,0,0,0,0,0,,:,,:
20200305,S08000026,NHS Shetland,0,0,0,0,0,0,0,1,2,8.72600349,2,0,0,0,2,0,,:,,:
20200305,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,2,7.48502994,2,0,0,0,2,0,,:,,:
20200305,S08000029,NHS Fife,0,2,0.53540356,0.53540356,0,0,0,9,105,28.10868692,9,0,0,3.3333333,9,0,,:,,:
20200305,S08000030,NHS Tayside,0,1,0.23953817,0.23953817,0,0,0,12,141,33.77488203,30,2,6.6666666999999995,7.5,30,0,,:,,:
20200305,S08000031,NHS Greater Glasgow & Clyde,1,3,0.25356684,0.16904456,0,0,0,73,446,37.69693691,91,2,2.1978022,0.9501188,91,0,,:,,:
20200305,S08000032,NHS Lanarkshire,1,1,0.151080224,0.151080224,0,0,0,22,178,26.8922798,32,1,3.125,0.6369427000000001,32,0,,:,,:
20200305,S92000003,Scotland,2,16,0.292863288,0.274559332,0,0,0,193,1777,32.5261289,266,8,3.0075187999999997,2.2551091999999997,266,0,19,"",,:
20200306,S08000015,NHS Ayrshire & Arran,0,1,0.270738575,0.270738575,0,0,0,9,99,26.80311891,13,0,0,2.3529412,13,0,,:,,:
20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,5,43,37.22621418,5,0,0,0,5,0,,:,,:
20200306,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,16,85,57.10063147,19,0,0,0,19,0,,:,,:
20200306,S08000019,NHS Forth Valley,0,3,0.978345943,0.978345943,0,0,0,18,157,51.20010436,37,2,5.405405399999999,5.1948052,37,0,,:,,:
20200306,S08000020,NHS Grampian,0,4,0.682943486,0.682943486,0,0,0,5,143,24.41522964,11,1,9.0909091,8.974359,11,0,,:,,:
20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,77,23.93534349,8,0,0,0,8,0,,:,,:
20200306,S08000024,NHS Lothian,2,3,0.330549373,0.330549373,0,0,0,30,385,42.42050288,37,3,8.108108099999999,2.2123894,37,0,,:,,:
20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,7,31.4324203,2,0,0,0,2,0,,:,,:
20200306,S08000026,NHS Shetland,2,2,8.72600349,8.72600349,0,0,0,0,2,8.72600349,2,2,100,40,2,0,,:,,:
20200306,S08000028,NHS Western Isles,0,0,0,0,0,0,0,1,3,11.22754491,2,0,0,0,2,0,,:,,:
20200306,S08000029,NHS Fife,0,2,0.53540356,0.53540356,0,0,0,7,112,29.98259938,13,1,7.692307700000001,5.084745799999999,13,0,,:,,:
20200306,S08000030,NHS Tayside,0,1,0.23953817,0,0,0,0,18,159,38.08656909,41,1,2.4390243999999996,5.2287582,41,0,,:,,:
20200306,S08000031,NHS Greater Glasgow & Clyde,1,4,0.33808912,0.25356684,0,0,0,77,523,44.20515248,101,1,0.9900990000000001,1.0121457,101,0,,:,,:
20200306,S08000032,NHS Lanarkshire,1,2,0.302160447,0.302160447,0,0,0,25,203,30.66928539,32,1,3.125,1.1173183999999998,32,0,,:,,:
20200306,S92000003,Scotland,6,22,0.402687021,0.36607911,0,0,0,221,1998,36.57130306,323,12,3.7151703,2.661597,323,0,21,"",,:
20200307,S08000015,NHS Ayrshire & Arran,1,2,0.54147715,0.54147715,0,0,0,8,107,28.96902751,15,1,6.6666666999999995,3.125,15,0,,:,,:
