week_ending,area_name,count,average_2018_2019,variation
2020-06-07,Dumfries and Galloway,13739,14655,-6.3
2020-06-07,Fife,27262,28868.5,-5.6
2020-06-07,Highland,24654,27970,-11.9
2020-06-07,Na h-Eileanan Siar,1174,1469.5,-20.1
2020-06-07,North Ayrshire,13501,14572,-7.3
2020-06-07,North Lanarkshire,30309,32054.5,-5.4
2020-06-07,Orkney Islands,1363,1701.5,-19.9
2020-06-07,Perth and Kinross,9928,10780.5,-7.9
2020-06-07,Renfrewshire,15035,16182.5,-7.1
2020-06-07,Scottish Borders,9604,9668,-0.7
2020-06-07,Shetland Islands,2254,2083,8.2
2020-06-07,South Ayrshire,10231,11310,-9.5
2020-06-07,South Lanarkshire,29847,30848.5,-3.2
2020-06-07,West Dunbartonshire,8705,9757.5,-10.8
2020-06-07,West Lothian,13000,13068,-0.5
2020-06-07,Na h-Eileanan Siar,1174,1469.5,-20.1
2020-06-14,Aberdeen City,11425,12680,-9.9
2020-06-14,Aberdeenshire,14590,15893.5,-8.2
2020-06-14,Angus,6581,8217,-19.9
2020-06-14,Argyll and Bute,9119,9855.5,-7.5
2020-06-14,Clackmannanshire,10631,11043.5,-3.7
2020-06-14,Dumfries and Galloway,13969,14643.5,-4.6
2020-06-14,Dundee City,10690,12035.5,-11.2
2020-06-14,East Ayrshire,12198,11914.5,2.4
2020-06-14,East Dunbartonshire,8308,9421.5,-11.8
2020-06-14,East Lothian,6783,7210.5,-5.9
2020-06-14,East Renfrewshire,6151,6413.5,-4.1
2020-06-14,City of Edinburgh,25396,26412,-3.8
2020-06-14,Falkirk,12690,12708.5,-0.1
2020-06-14,Fife,26961,29498,-8.6
2020-06-14,Glasgow City,50388,52324,-3.7
2020-06-14,Highland,15937,17625,-9.6
2020-06-14,Inverclyde,6980,8062,-13.4
2020-06-14,Midlothian,6089,6077.5,0.2
2020-06-14,Moray,5054,5680,-11
2020-06-14,Dumfries and Galloway,13969,14643.5,-4.6
2020-06-14,Fife,26961,29498,-8.6
2020-06-14,Highland,25056,27480.5,-8.8
2020-06-14,Na h-Eileanan Siar,1359,1437.5,-5.5
2020-06-14,North Ayrshire,12253,13391,-8.5
2020-06-14,North Lanarkshire,30241,30628.5,-1.3
2020-06-14,Orkney Islands,1493,1475.5,1.2
2020-06-14,Perth and Kinross,9554,10777,-11.3
2020-06-14,Renfrewshire,14819,16145.5,-8.2
2020-06-14,Scottish Borders,9942,10322,-3.7
2020-06-14,Shetland Islands,2284,1997.5,14.3
2020-06-14,South Ayrshire,10412,11427,-8.9
2020-06-14,South Lanarkshire,28909,30996,-6.7
2020-06-14,West Dunbartonshire,8703,8719.5,-0.2
2020-06-14,West Lothian,13523,13488,0.3
2020-06-14,Na h-Eileanan Siar,1359,1437.5,-5.5
2020-01-05,Stirling,6930,7955,-12.9
2020-01-12,Stirling,12389,12922.5,-4.1
2020-01-19,Stirling,11313,12388,-8.7
2020-01-26,Stirling,11661,12121,-3.8
2020-02-02,Stirling,11358,11987,-5.2
2020-02-09,Stirling,12017,12499.5,-3.9
2020-02-16,Stirling,11688,11847,-1.3
2020-02-23,Stirling,10803,11397,-5.2
2020-03-01,Stirling,11766,10957,7.4
2020-03-08,Stirling,12049,13032.5,-7.5
2020-03-15,Stirling,12702,11936,6.4
2020-03-22,Stirling,16713,12284,36.1
2020-03-29,Stirling,12772,11410.5,11.9
2020-04-05,Stirling,9705,12193,-20.4
2020-04-12,Stirling,10904,12156,-10.3
2020-04-19,Stirling,10243,11453,-10.6
2020-04-26,Stirling,10042,12184.5,-17.6
2020-05-03,Stirling,11267,13302.5,-15.3
2020-05-10,Stirling,10765,10929.5,-1.5
2020-05-17,Stirling,11260,12082,-6.8
2020-05-24,Stirling,11305,11978,-5.6
2020-05-31,Stirling,10460,12295,-14.9
2020-06-07,Stirling,11519,12172,-5.4
2020-06-14,Stirling,10631,11043.5,-3.7
